,Car7,Col1a1,Rab27b,Mesp2,Bambi,Nfe2,Cldn5,Smarcd3,Bin2,Abcc4,Slc38a5,Wnt5a,Zfp57,Esam,Tet3,Postn,Cdh2,Sox2,Col4a1,Morc4,Jarid2,Aldh1a2,Tbx1,Cyp26a1,Igfbp3,Lefty1,Socs2,Hoxb4,Pitx1,Nr1d1,Coro1a,Irx5,Ash2l,Dnmt3l,Bmi1
2362,0.0,3.7698343,0.0,0.0,5.5421934,0.0,0.0,0.0,0.0,0.0,0.0,3.7698343,0.0,0.0,4.852957,4.4513865,0.0,3.7698343,4.4513865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7698343,0.0,0.0,0.0,0.0,3.7698343,0.0,3.7698343
2363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3543496,4.665919,0.0,4.665919,0.0,0.0,0.0,0.0,0.0,5.3543496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,0.0,0.0,0.0,0.0,3.9318256,3.9318256,3.9318256,3.9318256,0.0,3.9318256,0.0,4.6151204,0.0,0.0,4.6151204,0.0,0.0,0.0,4.6151204,0.0,0.0,0.0,3.9318256,3.9318256,0.0,0.0,0.0,0.0,3.9318256,3.9318256,0.0,0.0,0.0,0.0,0.0
2365,0.0,0.0,0.0,3.1220112,4.4746957,0.0,3.1220112,0.0,3.1220112,3.792878,0.0,4.1908045,4.4746957,3.1220112,4.4746957,3.1220112,3.792878,0.0,3.792878,0.0,3.1220112,3.792878,0.0,0.0,3.1220112,0.0,0.0,3.1220112,3.792878,0.0,0.0,0.0,3.792878,0.0,0.0
2366,0.0,5.1386857,0.0,5.1386857,0.0,0.0,0.0,0.0,5.1386857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1386857,0.0,5.1386857,0.0,0.0,0.0,0.0,5.1386857,0.0,0.0,0.0,0.0,5.1386857,0.0,0.0,0.0,0.0
2367,0.0,0.0,0.0,0.0,0.0,0.0,4.4854774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4854774,0.0,4.4854774,0.0,5.172973,0.0,0.0,0.0,0.0,0.0,4.4854774,0.0,0.0,0.0,5.172973,0.0,0.0,0.0,0.0,0.0,0.0
2368,0.0,0.0,0.0,0.0,5.476862,0.0,0.0,0.0,0.0,0.0,0.0,5.295377,0.0,0.0,5.295377,5.073486,0.0,0.0,4.38658,0.0,3.705799,0.0,3.705799,0.0,3.705799,0.0,0.0,3.705799,0.0,3.705799,0.0,0.0,3.705799,0.0,0.0
2369,0.0,4.0352235,0.0,0.0,4.7194905,0.0,0.0,0.0,0.0,0.0,4.0352235,5.408168,0.0,0.0,5.121978,0.0,0.0,4.0352235,4.0352235,0.0,4.0352235,0.0,0.0,0.0,4.0352235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0352235,0.0,0.0
2370,0.0,0.0,0.0,0.0,4.2686133,0.0,0.0,0.0,0.0,0.0,4.9547353,0.0,0.0,0.0,4.9547353,0.0,4.2686133,0.0,0.0,0.0,4.9547353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2686133,0.0
2371,0.0,0.0,0.0,0.0,0.0,0.0,4.378773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0656304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378773,0.0,0.0
2372,3.7174826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7174826,0.0,0.0,3.7174826,3.7174826,0.0,0.0,0.0,0.0,4.398408,0.0,0.0,3.7174826,0.0,0.0,0.0,0.0,3.7174826,0.0,3.7174826,5.0853877,0.0,0.0,3.7174826,0.0,0.0,0.0
2373,0.0,0.0,0.0,0.0,4.98311,0.0,0.0,3.6171656,0.0,0.0,0.0,3.6171656,0.0,3.6171656,4.2967925,0.0,0.0,3.6171656,0.0,0.0,4.6977096,3.6171656,3.6171656,0.0,3.6171656,0.0,3.6171656,0.0,0.0,0.0,3.6171656,0.0,3.6171656,4.2967925,3.6171656
2374,3.8519108,0.0,0.0,0.0,3.8519108,0.0,0.0,0.0,4.534382,3.8519108,0.0,3.8519108,3.8519108,0.0,3.8519108,0.0,0.0,4.534382,5.9125934,0.0,0.0,0.0,0.0,0.0,3.8519108,0.0,0.0,3.8519108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2375,0.0,0.0,0.0,0.0,4.8239584,0.0,0.0,0.0,4.8239584,0.0,0.0,0.0,4.8239584,0.0,5.51308,4.8239584,0.0,0.0,4.8239584,0.0,4.8239584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8239584,0.0,0.0,0.0,0.0,0.0,0.0
2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.786538,3.786538,0.0,4.468283,3.786538,5.1556807,4.468283,0.0,4.869919,5.3776703,0.0,3.786538,0.0,0.0,0.0,0.0,0.0,3.786538,3.786538,0.0,0.0,0.0,0.0,0.0,0.0,3.786538
2377,3.5105758,3.5105758,0.0,0.0,3.5105758,0.0,5.0958195,0.0,0.0,3.5105758,0.0,3.5105758,3.5105758,0.0,0.0,0.0,0.0,3.5105758,5.785901,0.0,0.0,3.5105758,3.5105758,3.5105758,4.1886706,4.1886706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1886706
2378,0.0,0.0,0.0,0.0,5.121978,0.0,0.0,0.0,0.0,5.8121386,0.0,0.0,0.0,0.0,5.8121386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2379,3.8384743,0.0,3.8384743,0.0,3.8384743,0.0,0.0,0.0,3.8384743,3.8384743,0.0,5.2084923,3.8384743,3.8384743,4.9226317,0.0,0.0,4.9226317,4.5208,0.0,3.8384743,0.0,0.0,0.0,0.0,3.8384743,0.0,0.0,3.8384743,0.0,0.0,0.0,0.0,0.0,0.0
2380,3.532886,0.0,0.0,3.532886,4.8970213,3.532886,3.532886,0.0,3.532886,4.211315,0.0,0.0,3.532886,3.532886,3.532886,3.532886,3.532886,0.0,4.211315,0.0,0.0,0.0,0.0,0.0,0.0,3.532886,0.0,3.532886,3.532886,0.0,0.0,0.0,3.532886,3.532886,3.532886
2381,0.0,0.0,0.0,0.0,4.906964,0.0,0.0,0.0,0.0,0.0,4.2211843,4.906964,4.2211843,0.0,0.0,0.0,0.0,0.0,4.2211843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2211843,0.0,0.0,4.2211843,0.0,0.0,0.0,0.0,0.0
2382,0.0,0.0,0.0,0.0,4.15104,0.0,0.0,0.0,0.0,0.0,0.0,4.836282,0.0,0.0,5.239098,0.0,0.0,0.0,5.239098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15104,4.15104,0.0,0.0,0.0,0.0,0.0,0.0,4.15104
2383,0.0,0.0,0.0,0.0,5.6076136,0.0,0.0,0.0,3.834037,0.0,3.834037,3.834037,3.834037,3.834037,4.5163145,3.834037,0.0,0.0,4.5163145,0.0,0.0,0.0,0.0,4.5163145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.834037
2384,3.5524383,0.0,0.0,0.0,4.2311544,0.0,3.5524383,3.5524383,0.0,0.0,0.0,4.6317625,3.5524383,4.2311544,0.0,3.5524383,3.5524383,3.5524383,6.297796,0.0,3.5524383,0.0,0.0,4.6317625,4.9170074,0.0,0.0,0.0,0.0,3.5524383,0.0,0.0,0.0,3.5524383,0.0
2385,0.0,0.0,3.5825472,0.0,4.662449,0.0,0.0,3.5825472,3.5825472,0.0,0.0,4.9477673,0.0,3.5825472,4.2616944,0.0,0.0,4.2616944,4.662449,3.5825472,0.0,0.0,0.0,0.0,0.0,0.0,3.5825472,3.5825472,0.0,4.2616944,0.0,0.0,0.0,3.5825472,0.0
2386,0.0,0.0,0.0,0.0,0.0,4.4103813,0.0,0.0,4.4103813,4.4103813,0.0,5.0974345,0.0,0.0,0.0,0.0,0.0,4.4103813,0.0,0.0,0.0,0.0,0.0,4.4103813,0.0,4.4103813,0.0,0.0,0.0,0.0,0.0,0.0,4.4103813,4.4103813,0.0
2387,3.5022137,0.0,2.4621167,0.0,4.000914,0.0,0.0,2.4621167,3.1117015,2.4621167,2.4621167,4.68487,4.3321443,3.1117015,4.77934,0.0,3.5022137,3.1117015,3.7823346,3.1117015,4.000914,3.1117015,2.4621167,0.0,0.0,2.4621167,2.4621167,3.1117015,0.0,2.4621167,2.4621167,0.0,0.0,0.0,2.4621167
2388,0.0,4.1207604,0.0,0.0,5.8989005,0.0,0.0,0.0,4.1207604,4.1207604,0.0,4.1207604,4.1207604,0.0,4.8057585,0.0,0.0,4.1207604,5.7171273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1207604,0.0,4.1207604
2389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8239584,0.0,0.0,4.138814,4.138814,0.0,4.138814,4.138814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138814,4.8239584,0.0,0.0,4.8239584,0.0,0.0,0.0,0.0,0.0
2390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2278194,0.0,0.0,0.0,4.2278194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2278194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
